# step	m	energy
218	-0.05000000	0.26000000
219	-0.05000000	0.26000000
220	-0.05500000	0.26000000
221	-0.05500000	0.26000000
222	-0.05500000	0.26000000
223	-0.05500000	0.26000000
224	-0.05000000	0.26000000
225	-0.05000000	0.26000000
226	-0.04500000	0.27000000
227	-0.04500000	0.27000000
228	-0.04500000	0.27000000
229	-0.04500000	0.27000000
230	-0.04500000	0.27000000
231	-0.04500000	0.27000000
232	-0.04500000	0.27000000
233	-0.04000000	0.27000000
234	-0.04000000	0.27000000
235	-0.03500000	0.28000000
236	-0.03500000	0.28000000
237	-0.03500000	0.28000000
238	-0.03500000	0.28000000
239	-0.03500000	0.28000000
240	-0.03000000	0.30000000
241	-0.02500000	0.29000000
242	-0.03000000	0.30000000
243	-0.03500000	0.29000000
244	-0.03500000	0.29000000
245	-0.03000000	0.28000000
246	-0.03000000	0.28000000
247	-0.03000000	0.28000000
248	-0.03000000	0.28000000
249	-0.03000000	0.28000000
250	-0.03000000	0.28000000
251	-0.03000000	0.28000000
252	-0.02500000	0.28000000
253	-0.02500000	0.28000000
254	-0.02500000	0.28000000
255	-0.02500000	0.28000000
256	-0.03000000	0.29000000
257	-0.03500000	0.29000000
258	-0.03500000	0.29000000
259	-0.03500000	0.29000000
260	-0.03000000	0.29000000
261	-0.03000000	0.29000000
262	-0.03000000	0.29000000
263	-0.03000000	0.29000000
264	-0.02500000	0.29000000
265	-0.02500000	0.29000000
266	-0.02500000	0.29000000
267	-0.02500000	0.29000000
268	-0.03000000	0.29000000
269	-0.03000000	0.29000000
270	-0.03500000	0.29000000
271	-0.03500000	0.29000000
272	-0.03000000	0.29000000
273	-0.03000000	0.29000000
274	-0.02500000	0.30000000
275	-0.02500000	0.30000000
276	-0.02500000	0.30000000
277	-0.02500000	0.30000000
278	-0.02500000	0.30000000
279	-0.02500000	0.30000000
280	-0.02500000	0.30000000
281	-0.02000000	0.31000000
282	-0.02500000	0.31000000
283	-0.02000000	0.32000000
284	-0.02000000	0.32000000
285	-0.02000000	0.32000000
286	-0.02000000	0.32000000
287	-0.02000000	0.32000000
288	-0.02000000	0.32000000
289	-0.02500000	0.32000000
290	-0.02000000	0.34000000
291	-0.01500000	0.34000000
292	-0.01000000	0.33000000
293	-0.01500000	0.33000000
294	-0.01500000	0.33000000
295	-0.02000000	0.33000000
296	-0.02000000	0.33000000
297	-0.02000000	0.33000000
298	-0.02000000	0.33000000
299	-0.02500000	0.34000000
300	-0.02500000	0.34000000
301	-0.02000000	0.35000000
302	-0.02000000	0.35000000
303	-0.02000000	0.35000000
304	-0.02000000	0.35000000
305	-0.02000000	0.35000000
306	-0.02000000	0.35000000
307	-0.02000000	0.35000000
308	-0.02000000	0.35000000
309	-0.01500000	0.35000000
310	-0.01500000	0.35000000
311	-0.01500000	0.35000000
312	-0.01000000	0.35000000
313	-0.01500000	0.36000000
314	-0.01500000	0.36000000
315	-0.02000000	0.37000000
316	-0.02500000	0.37000000
317	-0.03000000	0.38000000
318	-0.03500000	0.39000000
319	-0.03500000	0.39000000
320	-0.03500000	0.39000000
321	-0.03500000	0.39000000
322	-0.03500000	0.39000000
323	-0.04000000	0.39000000
324	-0.03500000	0.40000000
325	-0.03500000	0.40000000
326	-0.03000000	0.41000000
327	-0.02500000	0.40000000
328	-0.02500000	0.40000000
329	-0.03000000	0.40000000
330	-0.03000000	0.40000000
331	-0.03000000	0.40000000
332	-0.02500000	0.40000000
333	-0.02500000	0.40000000
334	-0.02500000	0.40000000
335	-0.02500000	0.40000000
336	-0.02500000	0.40000000
337	-0.03000000	0.41000000
338	-0.03000000	0.41000000
339	-0.03000000	0.41000000
340	-0.03000000	0.41000000
341	-0.02500000	0.42000000
342	-0.02500000	0.42000000
343	-0.02500000	0.42000000
344	-0.02500000	0.42000000
345	-0.02500000	0.42000000
346	-0.02500000	0.42000000
347	-0.02500000	0.42000000
348	-0.03000000	0.42000000
349	-0.02500000	0.44000000
350	-0.02000000	0.44000000
351	-0.02000000	0.44000000
352	-0.02000000	0.44000000
353	-0.02000000	0.44000000
354	-0.02500000	0.45000000
355	-0.03000000	0.45000000
356	-0.03500000	0.45000000
357	-0.03500000	0.45000000
358	-0.03500000	0.45000000
359	-0.04000000	0.44000000
360	-0.04000000	0.44000000
361	-0.04000000	0.44000000
362	-0.04000000	0.44000000
363	-0.04000000	0.44000000
364	-0.04000000	0.44000000
365	-0.04000000	0.44000000
366	-0.04000000	0.44000000
367	-0.04500000	0.45000000
368	-0.04500000	0.45000000
369	-0.04000000	0.44000000
370	-0.03500000	0.44000000
371	-0.03500000	0.44000000
372	-0.03500000	0.44000000
373	-0.03500000	0.44000000
374	-0.03500000	0.44000000
375	-0.03500000	0.44000000
376	-0.03500000	0.44000000
377	-0.03500000	0.44000000
378	-0.03500000	0.44000000
379	-0.03000000	0.43000000
380	-0.03500000	0.44000000
381	-0.03500000	0.44000000
382	-0.04000000	0.44000000
383	-0.04000000	0.44000000
384	-0.04000000	0.44000000
385	-0.03500000	0.44000000
386	-0.03500000	0.44000000
387	-0.03500000	0.44000000
388	-0.03000000	0.44000000
389	-0.03000000	0.44000000
390	-0.03000000	0.44000000
391	-0.03000000	0.44000000
392	-0.03000000	0.44000000
393	-0.03000000	0.44000000
394	-0.03000000	0.44000000
395	-0.03000000	0.44000000
396	-0.03000000	0.44000000
397	-0.02500000	0.45000000
398	-0.02500000	0.45000000
399	-0.03000000	0.45000000
